GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US36005020502,36005020502,"Census Tract 205.02, Bronx County, New York",14821,2782
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",50952,13279
1400000US36005020900,36005020900,"Census Tract 209, Bronx County, New York",28438,6770
1400000US36005021001,36005021001,"Census Tract 210.01, Bronx County, New York",51457,4317
1400000US36005021002,36005021002,"Census Tract 210.02, Bronx County, New York",55091,5337
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",27539,3727
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",57679,6591
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",20595,5628
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",31714,7411
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",27102,6499
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",24256,3228
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",30160,3502
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",46453,8013
1400000US36005021700,36005021700,"Census Tract 217, Bronx County, New York",27823,7733
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",37008,8732
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",23370,8160
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",27969,9553
1400000US36005022101,36005022101,"Census Tract 221.01, Bronx County, New York",26732,3755
1400000US36005022102,36005022102,"Census Tract 221.02, Bronx County, New York",21933,3267
1400000US36005022200,36005022200,"Census Tract 222, Bronx County, New York",40811,7280
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",26000,6853
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",43150,9206
1400000US36005022403,36005022403,"Census Tract 224.03, Bronx County, New York",38875,6672
1400000US36005022404,36005022404,"Census Tract 224.04, Bronx County, New York",39651,9063
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",31281,5172
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",31368,3361
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",31778,9468
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",49602,18274
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",52447,9305
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",28500,6180
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",31790,12423
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",41341,9302
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",18750,9464
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",57708,10476
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",24621,6728
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",26641,11183
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",23311,7967
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",23529,6604
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",38831,11923
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",31500,4510
1400000US36005023703,36005023703,"Census Tract 237.03, Bronx County, New York",32484,9720
1400000US36005023704,36005023704,"Census Tract 237.04, Bronx County, New York",21394,4263
1400000US36005023800,36005023800,"Census Tract 238, Bronx County, New York",50625,11324
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",21052,9844
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",34715,5657
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",30422,5176
1400000US36005024300,36005024300,"Census Tract 243, Bronx County, New York",20437,3254
1400000US36005024400,36005024400,"Census Tract 244, Bronx County, New York",52277,16645
1400000US36005024501,36005024501,"Census Tract 245.01, Bronx County, New York",19040,5948
1400000US36005024502,36005024502,"Census Tract 245.02, Bronx County, New York",27813,15563
1400000US36005024600,36005024600,"Census Tract 246, Bronx County, New York",63500,9302
1400000US36005024700,36005024700,"Census Tract 247, Bronx County, New York",43438,4722
1400000US36005024800,36005024800,"Census Tract 248, Bronx County, New York",57292,14343
1400000US36005024900,36005024900,"Census Tract 249, Bronx County, New York",,
1400000US36005025000,36005025000,"Census Tract 250, Bronx County, New York",76111,18795
1400000US36005025100,36005025100,"Census Tract 251, Bronx County, New York",29559,7677
1400000US36005025200,36005025200,"Census Tract 252, Bronx County, New York",63398,8856
1400000US36005025300,36005025300,"Census Tract 253, Bronx County, New York",30069,4765
1400000US36005025400,36005025400,"Census Tract 254, Bronx County, New York",53110,5031
1400000US36005025500,36005025500,"Census Tract 255, Bronx County, New York",32115,12006
1400000US36005025600,36005025600,"Census Tract 256, Bronx County, New York",43125,5095
1400000US36005025700,36005025700,"Census Tract 257, Bronx County, New York",34559,5676
1400000US36005026100,36005026100,"Census Tract 261, Bronx County, New York",68971,9108
1400000US36005026300,36005026300,"Census Tract 263, Bronx County, New York",28411,5247
1400000US36005026400,36005026400,"Census Tract 264, Bronx County, New York",61603,11127
1400000US36005026500,36005026500,"Census Tract 265, Bronx County, New York",34919,10236
1400000US36005026601,36005026601,"Census Tract 266.01, Bronx County, New York",53854,11765
1400000US36005026602,36005026602,"Census Tract 266.02, Bronx County, New York",50300,17134
1400000US36005026701,36005026701,"Census Tract 267.01, Bronx County, New York",42266,13593
1400000US36005026702,36005026702,"Census Tract 267.02, Bronx County, New York",35315,5754
1400000US36005026900,36005026900,"Census Tract 269, Bronx County, New York",38469,5300
1400000US36005027300,36005027300,"Census Tract 273, Bronx County, New York",38018,9755
1400000US36005027401,36005027401,"Census Tract 274.01, Bronx County, New York",93250,10745
1400000US36005027402,36005027402,"Census Tract 274.02, Bronx County, New York",74063,12779
1400000US36005027600,36005027600,"Census Tract 276, Bronx County, New York",,
1400000US36005027700,36005027700,"Census Tract 277, Bronx County, New York",39554,13379
1400000US36005027900,36005027900,"Census Tract 279, Bronx County, New York",58472,9041
1400000US36005028100,36005028100,"Census Tract 281, Bronx County, New York",62958,4875
1400000US36005028300,36005028300,"Census Tract 283, Bronx County, New York",24745,8039
1400000US36005028400,36005028400,"Census Tract 284, Bronx County, New York",,
