"year","leaid","lea_name","state_name","city_location","agency_type","enrollment","spec_ed_students","english_language_learners","est_population_total","est_population_5_17","est_population_5_17_pct"
"2016","3600084","NEW YORK CITY GEOGRAPHIC DISTRICT # 7","New York","BRONX","Local school district that is a component of a supervisory union","19934","6324","3400","","",""
"2016","3600085","NEW YORK CITY GEOGRAPHIC DISTRICT # 8","New York","BRONX","Local school district that is a component of a supervisory union","29202","9108","3916","","",""
"2016","3600086","NEW YORK CITY GEOGRAPHIC DISTRICT # 9","New York","BRONX","Local school district that is a component of a supervisory union","36668","10565","8832","","",""
"2016","3600087","NEW YORK CITY GEOGRAPHIC DISTRICT #10","New York","BRONX","Local school district that is a component of a supervisory union","56751","13684","12053","","",""
"2016","3600088","NEW YORK CITY GEOGRAPHIC DISTRICT #11","New York","BRONX","Local school district that is a component of a supervisory union","39945","10293","4502","","",""
"2016","3600089","BRONX CHARTER SCHOOL FOR BETTER LEARNING","New York","BRONX","Charter agency","522","","14","","",""
"2016","3600090","NEW YORK CITY GEOGRAPHIC DISTRICT #12","New York","BRONX","Local school district that is a component of a supervisory union","24305","6637","4821","","",""
"2016","3600091","NEW YORK CITY GEOGRAPHIC DISTRICT #13","New York","BROOKLYN","Local school district that is a component of a supervisory union","21183","3724","970","","",""
"2016","3600092","NEW YORK CITY GEOGRAPHIC DISTRICT #15","New York","BROOKLYN","Local school district that is a component of a supervisory union","31978","7002","5543","","",""
"2016","3600094","NEW YORK CITY GEOGRAPHIC DISTRICT #16","New York","BROOKLYN","Local school district that is a component of a supervisory union","7327","2816","394","","",""
"2016","3600095","NEW YORK CITY GEOGRAPHIC DISTRICT #17","New York","BROOKLYN","Local school district that is a component of a supervisory union","22488","7298","2422","","",""
"2016","3600096","NEW YORK CITY GEOGRAPHIC DISTRICT #18","New York","BROOKLYN","Local school district that is a component of a supervisory union","15979","4145","960","","",""
"2016","3600097","NEW YORK CITY GEOGRAPHIC DISTRICT #32","New York","BROOKLYN","Local school district that is a component of a supervisory union","12301","3056","2400","","",""
"2016","3600098","NEW YORK CITY GEOGRAPHIC DISTRICT #24","New York","CORONA","Local school district that is a component of a supervisory union","60158","11514","14112","","",""
"2016","3600099","NEW YORK CITY GEOGRAPHIC DISTRICT #26","New York","BAYSIDE","Local school district that is a component of a supervisory union","31968","4858","2450","","",""
"2016","3600100","NEW YORK CITY GEOGRAPHIC DISTRICT #28","New York","JAMAICA","Local school district that is a component of a supervisory union","41721","7680","4345","","",""
"2016","3600101","NEW YORK CITY GEOGRAPHIC DISTRICT #29","New York","QUEENS VILLAGE","Local school district that is a component of a supervisory union","27871","5973","2352","","",""
"2016","3600102","NEW YORK CITY GEOGRAPHIC DISTRICT #30","New York","LONG ISLAND CITY","Local school district that is a component of a supervisory union","40364","7121","7333","","",""
"2016","3600103","NEW YORK CITY GEOGRAPHIC DISTRICT #31","New York","STATEN ISLAND","Local school district that is a component of a supervisory union","62815","17373","3693","","",""
"2016","3600104","SYRACUSE ACADEMY OF SCIENCE CHARTER SCHOOL","New York","SYRACUSE","Charter agency","926","","36","","",""
"2016","3600105","BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL","New York","BUFFALO","Charter agency","460","","48","","",""
"2016","3600106","WESTERN NEW YORK MARITIME CHARTER SCHOOL","New York","BUFFALO","Charter agency","411","","27","","",""
"2016","3600107","WESTMINSTER COMMUNITY CHARTER SCHOOL","New York","BUFFALO","Charter agency","551","","5","","",""
"2016","3600108","HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL","New York","NEW YORK","Charter agency","1138","","39","","",""
"2016","3600109","OPPORTUNITY CHARTER SCHOOL","New York","NEW YORK","Charter agency","425","","41","","",""
"2016","3600110","BRONX CHARTER SCHOOL FOR CHILDREN (THE)","New York","BRONX","Charter agency","432","","85","","",""
"2016","3600111","BRONX LIGHTHOUSE CHARTER SCHOOL","New York","BRONX","Charter agency","670","","48","","",""
"2016","3600112","GRAND CONCOURSE ACADEMY CHARTER SCHOOL","New York","BRONX","Charter agency","545","","89","","",""
"2016","3600113","BRONX CHARTER SCHOOL FOR EXCELLENCE","New York","BRONX","Charter agency","801","","64","","",""
"2016","3600114","EXCELLENCE BOYS CHARTER SCHOOL OF BEDFORD STUYVESANT","New York","BROOKLYN","Charter agency","779","","19","","",""
