"year","leaid","lea_name","state_name","city_location","agency_type","enrollment"
"2014","3607440","RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT","New York","RANDOLPH","Regular local school district","37"
"2014","3607470","CHITTENANGO CENTRAL SCHOOL DISTRICT","New York","CHITTENANGO","Regular local school district","1993"
"2014","3607530","CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT","New York","CHURCHVILLE","Regular local school district","3935"
"2014","3607560","CINCINNATUS CENTRAL SCHOOL DISTRICT","New York","CINCINNATUS","Regular local school district","619"
"2014","3607590","CLARENCE CENTRAL SCHOOL DISTRICT","New York","CLARENCE","Regular local school district","4623"
"2014","3607650","THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT","New York","CLAYTON","Regular local school district","995"
"2014","3607680","CLEVELAND HILL UNION FREE SCHOOL DISTRICT","New York","CHEEKTOWAGA","Regular local school district","1341"
"2014","3607710","CLIFTON-FINE CENTRAL SCHOOL DISTRICT","New York","STAR LAKE","Regular local school district","304"
"2014","3607770","CLINTON CENTRAL SCHOOL DISTRICT","New York","CLINTON","Regular local school district","1305"
"2014","3607860","CLYDE-SAVANNAH CENTRAL SCHOOL DISTRICT","New York","CLYDE","Regular local school district","847"
"2014","3607890","CLYMER CENTRAL SCHOOL DISTRICT","New York","CLYMER","Regular local school district","456"
"2014","3607980","COHOES CITY SCHOOL DISTRICT","New York","COHOES","Regular local school district","1870"
"2014","3608010","COLD SPRING HARBOR CENTRAL SCHOOL DISTRICT","New York","COLD SPRING HARBOR","Regular local school district","1814"
"2014","3608100","COLTON-PIERREPONT CENTRAL SCHOOL DISTRICT","New York","COLTON","Regular local school district","321"
"2014","3608130","COMMACK UNION FREE SCHOOL DISTRICT","New York","EAST NORTHPORT","Regular local school district","6842"
"2014","3608160","CONNETQUOT CENTRAL SCHOOL DISTRICT","New York","BOHEMIA","Regular local school district","6244"
"2014","3608250","COOPERSTOWN CENTRAL SCHOOL DISTRICT","New York","COOPERSTOWN","Regular local school district","885"
"2014","3608280","COPENHAGEN CENTRAL SCHOOL DISTRICT","New York","COPENHAGEN","Regular local school district","450"
"2014","3608310","COPIAGUE UNION FREE SCHOOL DISTRICT","New York","COPIAGUE","Regular local school district","5212"
"2014","3608340","PEMBROKE CENTRAL SCHOOL DISTRICT","New York","CORFU","Regular local school district","926"
"2014","3608370","CORINTH CENTRAL SCHOOL DISTRICT","New York","CORINTH","Regular local school district","1201"
"2014","3608400","CORNING CITY SCHOOL DISTRICT","New York","PAINTED POST","Regular local school district","4867"
"2014","3608430","CORNWALL CENTRAL SCHOOL DISTRICT","New York","CORNWALL ON HUDSON","Regular local school district","3259"
"2014","3608460","CORTLAND CITY SCHOOL DISTRICT","New York","CORTLAND","Regular local school district","2620"
"2014","3608470","MOUNT PLEASANT-COTTAGE UNION FREE SCHOOL DISTRICT","New York","PLEASANTVILLE","Regular local school district","221"
"2014","3608490","COXSACKIE-ATHENS CENTRAL SCHOOL DISTRICT","New York","COXSACKIE","Regular local school district","1409"
"2014","3608580","CROTON-HARMON UNION FREE SCHOOL DISTRICT","New York","CROTON ON HUDSON","Regular local school district","1666"
"2014","3608610","CROWN POINT CENTRAL SCHOOL DISTRICT","New York","CROWN POINT","Regular local school district","275"
"2014","3608790","DANSVILLE CENTRAL SCHOOL DISTRICT","New York","DANSVILLE","Regular local school district","1597"
"2014","3608850","DERUYTER CENTRAL SCHOOL DISTRICT","New York","DERUYTER","Regular local school district","436"
"2014","3608880","DEER PARK UNION FREE SCHOOL DISTRICT","New York","DEER PARK","Regular local school district","4280"
"2014","3608910","DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI","New York","DELHI","Regular local school district","766"
"2014","3608970","YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT","New York","YORKSHIRE","Regular local school district","2585"
"2014","3609030","DEPEW UNION FREE SCHOOL DISTRICT","New York","DEPEW","Regular local school district","1853"
"2014","3609060","DEPOSIT CENTRAL SCHOOL DISTRICT","New York","DEPOSIT","Regular local school district","563"
"2014","3609090","JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT","New York","DEWITT","Regular local school district","2951"
"2014","3609120","DOBBS FERRY UNION FREE SCHOOL DISTRICT","New York","DOBBS FERRY","Regular local school district","1472"
"2014","3609210","DOVER UNION FREE SCHOOL DISTRICT","New York","DOVER PLAINS","Regular local school district","1419"
"2014","3609240","DOWNSVILLE CENTRAL SCHOOL DISTRICT","New York","DOWNSVILLE","Regular local school district","282"
"2014","3609330","DRYDEN CENTRAL SCHOOL DISTRICT","New York","DRYDEN","Regular local school district","1656"
"2014","3609360","DUANESBURG CENTRAL SCHOOL DISTRICT","New York","DELANSON","Regular local school district","763"
"2014","3609390","DUNDEE CENTRAL SCHOOL DISTRICT","New York","DUNDEE","Regular local school district","763"
"2014","3609420","DUNKIRK CITY SCHOOL DISTRICT","New York","DUNKIRK","Regular local school district","2112"
"2014","3609540","EAST AURORA UNION FREE SCHOOL DISTRICT","New York","EAST AURORA","Regular local school district","1818"
"2014","3609630","EAST GREENBUSH CENTRAL SCHOOL DISTRICT","New York","EAST GREENBUSH","Regular local school district","4106"
"2014","3609660","EAST HAMPTON UNION FREE SCHOOL DISTRICT","New York","EAST HAMPTON","Regular local school district","1835"
"2014","3609690","EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT","New York","ROCHESTER","Regular local school district","3121"
"2014","3609720","EAST ISLIP UNION FREE SCHOOL DISTRICT","New York","ISLIP TERRACE","Regular local school district","3985"
"2014","3609840","EAST MEADOW UNION FREE SCHOOL DISTRICT","New York","WESTBURY","Regular local school district","7144"
"2014","3609870","EAST MORICHES UNION FREE SCHOOL DISTRICT","New York","EAST MORICHES","Regular local school district","755"
"2014","3609900","EAST QUOGUE UNION FREE SCHOOL DISTRICT","New York","EAST QUOGUE","Regular local school district","432"
"2014","3609930","EAST ROCHESTER UNION FREE SCHOOL DISTRICT","New York","EAST ROCHESTER","Regular local school district","1060"
"2014","3609960","EAST ROCKAWAY UNION FREE SCHOOL DISTRICT","New York","EAST ROCKAWAY","Regular local school district","1213"
"2014","3609990","EAST SYRACUSE-MINOA CENTRAL SCHOOL DISTRICT","New York","EAST SYRACUSE","Regular local school district","3546"
"2014","3610050","EAST WILLISTON UNION FREE SCHOOL DISTRICT","New York","OLD WESTBURY","Regular local school district","1745"
"2014","3610080","EASTCHESTER UNION FREE SCHOOL DISTRICT","New York","EASTCHESTER","Regular local school district","3200"
"2014","3610140","GREENBURGH ELEVEN UNION FREE SCHOOL DISTRICT","New York","DOBBS FERRY","Regular local school district","117"
"2014","3610170","EDEN CENTRAL SCHOOL DISTRICT","New York","EDEN","Regular local school district","1500"
"2014","3610200","EDGEMONT UNION FREE SCHOOL DISTRICT","New York","SCARSDALE","Regular local school district","1925"
"2014","3610230","EDINBURG COMMON SCHOOL DISTRICT","New York","EDINBURG","Regular local school district","89"
"2014","3610260","EDMESTON CENTRAL SCHOOL DISTRICT","New York","EDMESTON","Regular local school district","438"
"2014","3610380","ELBA CENTRAL SCHOOL DISTRICT","New York","ELBA","Regular local school district","415"
"2014","3610410","ELDRED CENTRAL SCHOOL DISTRICT","New York","ELDRED","Regular local school district","629"
"2014","3610440","ELIZABETHTOWN-LEWIS CENTRAL SCHOOL DISTRICT","New York","ELIZABETHTOWN","Regular local school district","262"
"2014","3610500","ELLENVILLE CENTRAL SCHOOL DISTRICT","New York","ELLENVILLE","Regular local school district","1786"
"2014","3610530","ELLICOTTVILLE CENTRAL SCHOOL DISTRICT","New York","ELLICOTTVILLE","Regular local school district","588"
"2014","3610560","ELMIRA CITY SCHOOL DISTRICT","New York","ELMIRA","Regular local school district","6582"
"2014","3610590","ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT","New York","ELMIRA HEIGHTS","Regular local school district","1081"
"2014","3610620","ELMONT UNION FREE SCHOOL DISTRICT","New York","ELMONT","Regular local school district","3883"
