,created_at,tweet_id,text,user_id,user_name
82,Fri Jun 07 14:44:10 +0000 2019,1137007345249148928,"World Cup begins today! 🏆 
4️⃣ days until our first game 🇳🇱
Can't wait! 🔶️🦁

#oranjeleeuwinnen #onzejacht… https://t.co/WUbaROteE7",108661043,Inessa Kaagman
83,Fri Jun 07 14:43:54 +0000 2019,1137007278874386433,"#WWC2019 kicks off today. As we will be in #Glasgow for #BAUS19 when it's on, we're rooting for @ScotlandNT #swnt A… https://t.co/XlJbXXCE9v",767631867424206848,Synergo® Technology
84,Fri Jun 07 14:46:59 +0000 2019,1137008055814692865,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",1000424952267444236,KnuffigerCarsto (TL Scrub) 🏳‍🌈
85,Fri Jun 07 14:46:55 +0000 2019,1137008037133205505,#WWC2019 starts today. Come on Canada! Bring it home! #CANWNT https://t.co/JTtN3PxBtd,362727949,Cody Fullerton
86,Fri Jun 07 14:46:46 +0000 2019,1137008002278576128,"RT @mercatomilan17: Oggi cominciano i Mondiali femminili di #Francia2019 🇫🇷.

Saranno 7 le Rossonere impegnate:

Laura #Fusetti 🇮🇹
Linda #T…",889160369868025856,Alessio Lombardi
87,Fri Jun 07 14:46:31 +0000 2019,1137007936343953408,TIL a coworker @jennifer_bisset is a former pro footballer! (That’s soccer to the Yanks out there.) Check out her a… https://t.co/ieXNewyLcN,6595682,Stephen Shankland
88,Fri Jun 07 14:45:52 +0000 2019,1137007774972256261,"This is almost taking me back to my university days, studying American history in class. When it is required by law… https://t.co/j56evGlVA9",67267427,Diana Yeow
89,Fri Jun 07 14:45:43 +0000 2019,1137007737043378176,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",1072501414621077504,weltraumaffe
90,Fri Jun 07 14:45:33 +0000 2019,1137007694265704449,"The Women’s World Cup starts today so this account is now an official Alex Morgan, Megan Rapinoe, Tobin Heath, Mall… https://t.co/NCjlMjGEXl",208739005,kino
91,Fri Jun 07 14:45:29 +0000 2019,1137007676876087296,"RT @extra3: Heute beginnt die Frauen-WM. Wer keinen Bock hat auf Weichei-Fußball voller Diven, kann also froh sein, dass Bundesliga und Cha…",2898667199,Michl🇨🇰🇸🇨🇧🇸
